video_id,title,published_at,duration_seconds,thumbnail_url,views,watch_time_minutes,avg_view_duration,avg_view_percentage,subscribers_gained,likes,comments,shares,playlists_added,playlists_removed,impressions,ctr,fetched_at
v001,ダンス振り付け解説 #shorts,2025-12-15 10:30:00,45,https://i.ytimg.com/vi/sample1.jpg,15234,8520,33.5,74.4,125,892,45,234,12,2,45678,3.2,2026-01-12 06:00:00
v002,料理レシピ30秒,2025-12-18 14:20:00,30,https://i.ytimg.com/vi/sample2.jpg,8965,3200,21.4,71.3,78,542,28,145,8,1,32456,2.8,2026-01-12 06:00:00
v003,筋トレチャレンジ,2025-12-20 09:15:00,58,https://i.ytimg.com/vi/sample3.jpg,22456,15678,41.9,72.2,198,1234,67,456,23,3,67890,3.5,2026-01-12 06:00:00
v004,メイクアップ時短技,2025-12-22 16:45:00,42,https://i.ytimg.com/vi/sample4.jpg,12789,6890,32.3,76.9,95,687,34,189,11,1,38901,3.1,2026-01-12 06:00:00
v005,ペットの可愛い瞬間,2025-12-25 11:30:00,35,https://i.ytimg.com/vi/sample5.jpg,18934,8234,26.1,74.6,142,1045,52,312,18,2,52345,3.4,2026-01-12 06:00:00
v006,旅行Vlog切り抜き,2025-12-28 13:20:00,52,https://i.ytimg.com/vi/sample6.jpg,10567,6789,38.5,74.0,82,598,29,167,9,1,34567,2.9,2026-01-12 06:00:00
v007,ゲーム攻略テクニック,2025-12-30 18:00:00,48,https://i.ytimg.com/vi/sample7.jpg,25678,16234,37.9,78.9,234,1567,89,523,28,4,78901,3.8,2026-01-12 06:00:00
v008,DIY工作アイデア,2026-01-02 10:45:00,55,https://i.ytimg.com/vi/sample8.jpg,14567,9890,40.7,74.0,112,823,41,245,14,2,45678,3.0,2026-01-12 06:00:00
v009,ファッションコーデ,2026-01-04 15:30:00,38,https://i.ytimg.com/vi/sample9.jpg,11234,5234,27.9,73.4,89,645,32,178,10,1,36789,2.7,2026-01-12 06:00:00
v010,英語フレーズ紹介,2026-01-06 12:15:00,44,https://i.ytimg.com/vi/sample10.jpg,16789,8567,30.6,69.5,128,934,47,267,15,2,48901,3.2,2026-01-12 06:00:00
v011,掃除の裏技,2026-01-08 09:30:00,41,https://i.ytimg.com/vi/sample11.jpg,13456,6789,30.3,73.9,98,756,38,198,12,1,41234,3.1,2026-01-12 06:00:00
v012,スイーツレシピ,2026-01-10 14:00:00,47,https://i.ytimg.com/vi/sample12.jpg,19234,10567,32.9,70.0,156,1123,56,334,19,3,56789,3.3,2026-01-12 06:00:00
